2016-09-04,136.23
2016-09-11,75.06
2016-09-18,143.46
2016-09-25,0.0
2016-10-02,109.34
2016-10-09,52206.11000000001
2016-10-16,4493.39
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,0.0
2016-11-27,0.0
2016-12-04,0.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,19.62
2017-01-01,0.0
2017-01-08,3953.17
2017-01-15,14742.33
2017-01-22,28318.24
2017-01-29,65589.07999999999
2017-02-05,81927.9
2017-02-12,90027.6
2017-02-19,63703.670000000006
2017-02-26,55800.11000000001
2017-03-05,83904.75000000003
2017-03-12,91402.52
2017-03-19,108992.56999999999
2017-03-26,98406.84
2017-04-02,98408.63
2017-04-09,105733.96
2017-04-16,69355.27
2017-04-23,100519.77
2017-04-30,107153.52999999997
2017-05-07,117714.61
2017-05-14,130651.79999999997
2017-05-21,142279.19
2017-05-28,133565.61000000002
2017-06-04,133509.96000000002
2017-06-11,126830.70999999999
2017-06-18,119418.15000000004
2017-06-25,104330.34
2017-07-02,108665.35000000003
2017-07-09,125232.87999999998
2017-07-16,135665.09
2017-07-23,142781.19999999998
2017-07-30,133042.05000000002
2017-08-06,142253.86999999997
2017-08-13,149503.46000000002
2017-08-20,149404.69999999995
2017-08-27,126099.31999999999
2017-09-03,205262.66999999995
2017-09-10,153852.94
2017-09-17,186025.8099999999
2017-09-24,151437.65999999997
2017-10-01,167111.17999999996
2017-10-08,166655.90999999997
2017-10-15,178962.68999999997
2017-10-22,190624.85999999993
2017-10-29,160982.06999999998
2017-11-05,165560.24999999997
2017-11-12,186728.66999999998
2017-11-19,205865.61
2017-11-26,474623.6499999995
2017-12-03,312437.4199999999
2017-12-10,258850.65999999992
2017-12-17,218400.99999999988
2017-12-24,151002.43999999997
2017-12-31,119398.70999999995
2018-01-07,213191.42999999993
2018-01-14,276725.0299999999
2018-01-21,261083.57000000004
2018-01-28,247148.21
2018-02-04,233194.98999999996
2018-02-11,237063.51999999987
2018-02-18,227164.56999999998
2018-02-25,249189.9199999999
2018-03-04,301730.5099999998
2018-03-11,268805.0
2018-03-18,256711.66999999998
2018-03-25,271435.7900000001
2018-04-01,240082.46000000005
2018-04-08,265003.35000000003
2018-04-15,270864.51999999996
2018-04-22,273264.4300000002
2018-04-29,275340.13000000006
2018-05-06,284914.8100000001
2018-05-13,341185.50000000006
2018-05-20,300278.1899999999
2018-05-27,154018.74999999997
2018-06-03,209513.74000000005
2018-06-10,241400.70000000013
2018-06-17,259619.91000000003
2018-06-24,228102.11000000002
2018-07-01,223522.52999999994
2018-07-08,187346.96000000002
2018-07-15,193525.09000000003
2018-07-22,263958.12000000005
2018-07-29,285620.89999999997
2018-08-05,326290.4
2018-08-12,329140.93000000005
2018-08-19,288227.83
2018-08-26,146870.04
2018-09-02,11995.529999999999
2018-09-09,166.46
